Deck_Selected,Experiment_Start,Net_Outcome,Penalty,Reaction_Time,Reward,Subject_Age,Subject_Gender,Subject_ID,Sync_Timestamp,Total_Balance,Trial_Number,Trial_Real_Time
B,2025-12-28T00:32:08,5000,0,3.287,5000,17,F,D20251228_003050153,2025-12-28T00:32:08.230,105000,1,2025-12-28T00:32:14
D,2025-12-28T00:32:08,2500,0,3.638,2500,17,F,D20251228_003050153,,107500,2,2025-12-28T00:32:19
C,2025-12-28T00:32:08,2500,0,3.122,2500,17,F,D20251228_003050153,,110000,3,2025-12-28T00:32:24
B,2025-12-28T00:32:08,5000,0,1.212,5000,17,F,D20251228_003050153,,115000,4,2025-12-28T00:32:27
D,2025-12-28T00:32:08,2500,0,0.562,2500,17,F,D20251228_003050153,,117500,5,2025-12-28T00:32:30
B,2025-12-28T00:32:08,5000,0,1.491,5000,17,F,D20251228_003050153,,122500,6,2025-12-28T00:32:34
D,2025-12-28T00:32:08,-10000,-12500,0.54,2500,17,F,D20251228_003050153,,112500,7,2025-12-28T00:32:36
B,2025-12-28T00:32:08,5000,0,0.523,5000,17,F,D20251228_003050153,,117500,8,2025-12-28T00:32:39
D,2025-12-28T00:32:08,2500,0,0.541,2500,17,F,D20251228_003050153,,120000,9,2025-12-28T00:32:41
B,2025-12-28T00:32:08,5000,0,0.957,5000,17,F,D20251228_003050153,,125000,10,2025-12-28T00:32:44
D,2025-12-28T00:32:08,2500,0,0.421,2500,17,F,D20251228_003050153,,127500,11,2025-12-28T00:32:47
B,2025-12-28T00:32:08,5000,0,0.676,5000,17,F,D20251228_003050153,,132500,12,2025-12-28T00:32:49
D,2025-12-28T00:32:08,2500,0,0.497,2500,17,F,D20251228_003050153,,135000,13,2025-12-28T00:32:52
B,2025-12-28T00:32:08,-57500,-62500,0.739,5000,17,F,D20251228_003050153,,77500,14,2025-12-28T00:32:54
C,2025-12-28T00:32:08,2500,0,3.295,2500,17,F,D20251228_003050153,,80000,15,2025-12-28T00:33:00
C,2025-12-28T00:32:08,1250,-1250,0.859,2500,17,F,D20251228_003050153,,81250,16,2025-12-28T00:33:03
A,2025-12-28T00:32:08,5000,0,0.5,5000,17,F,D20251228_003050153,,86250,17,2025-12-28T00:33:05
D,2025-12-28T00:32:08,2500,0,0.576,2500,17,F,D20251228_003050153,,88750,18,2025-12-28T00:33:08
B,2025-12-28T00:32:08,5000,0,5.774,5000,17,F,D20251228_003050153,,93750,19,2025-12-28T00:33:15
B,2025-12-28T00:32:08,5000,0,1.472,5000,17,F,D20251228_003050153,,98750,20,2025-12-28T00:33:19
D,2025-12-28T00:32:08,2500,0,0.512,2500,17,F,D20251228_003050153,,101250,21,2025-12-28T00:33:22
C,2025-12-28T00:32:08,0,-2500,1.384,2500,17,F,D20251228_003050153,,101250,22,2025-12-28T00:33:25
B,2025-12-28T00:32:08,5000,0,0.583,5000,17,F,D20251228_003050153,,106250,23,2025-12-28T00:33:28
